epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,6.17745,0.46038,0.76,1,0.86719,0.0946,0.0006,0.0006
2,10.0628,0.29842,0.65,1,1.06616,0.0882994,0.00129936,0.00129936
3,13.5509,0.40109,0.61,1,1.1333,0.081998,0.00199802,0.00199802
4,17.0494,0.4167,0.62,1,0.94482,0.075696,0.00269599,0.00269599
5,20.5602,0.27047,0.61,1,1.2085,0.0693933,0.00339327,0.00339327
6,24.1353,0.2406,0.58,1,1.62842,0.0630899,0.00408985,0.00408985
7,27.6569,0.18166,0.58,1,1.42432,0.0567857,0.00478574,0.00478574
8,31.1525,0.25765,0.53,1,1.76465,0.0504809,0.00548094,0.00548094
9,34.6316,0.1795,0.56,1,1.604,0.0441754,0.00617545,0.00617545
10,38.0798,0.18976,0.64,1,1.50293,0.0378693,0.00686926,0.00686926
11,41.5227,0.27974,0.63,1,1.31445,0.0315624,0.00756238,0.00756238
12,45.0159,0.13187,0.58,1,2.08398,0.0252548,0.00825481,0.00825481
13,48.518,0.15573,0.61,1,1.84912,0.0189465,0.00894654,0.00894654
14,51.9917,0.09838,0.66,1,1.43213,0.0126376,0.00963758,0.00963758
15,55.5261,0.11492,0.65,1,1.28491,0.0099307,0.0099307,0.0099307
16,59.0038,0.29483,0.64,1,1.4292,0.00992575,0.00992575,0.00992575
17,62.4857,0.15762,0.74,1,1.14697,0.0099208,0.0099208,0.0099208
18,66.035,0.13997,0.74,1,0.72266,0.00991585,0.00991585,0.00991585
19,69.5221,0.36895,0.71,1,1.16479,0.0099109,0.0099109,0.0099109
20,73.0513,0.24876,0.75,1,1.08936,0.00990595,0.00990595,0.00990595
21,76.5348,0.30282,0.81,1,0.96387,0.009901,0.009901,0.009901
22,80.2912,0.23722,0.46,1,2.02441,0.00989605,0.00989605,0.00989605
23,83.8598,0.34247,0.4,1,2.24414,0.0098911,0.0098911,0.0098911
24,87.3618,0.32098,0.54,1,1.27832,0.00988615,0.00988615,0.00988615
25,90.8515,0.23579,0.34,1,2.33203,0.0098812,0.0098812,0.0098812
26,94.3459,0.3022,0.44,1,2.2334,0.00987625,0.00987625,0.00987625
27,97.8054,0.34085,0.57,1,1.41846,0.0098713,0.0098713,0.0098713
28,101.288,0.40311,0.65,1,1.23633,0.00986635,0.00986635,0.00986635
29,104.781,0.29341,0.56,1,2.51465,0.0098614,0.0098614,0.0098614
30,108.308,0.2848,0.67,1,1.33691,0.00985645,0.00985645,0.00985645
31,111.793,0.67296,0.78,1,0.98633,0.0098515,0.0098515,0.0098515
32,115.378,0.45189,0.73,1,1.0061,0.00984655,0.00984655,0.00984655
33,118.844,0.34337,0.64,1,1.06445,0.0098416,0.0098416,0.0098416
34,122.321,0.43116,0.46,1,1.35205,0.00983665,0.00983665,0.00983665
