epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,7.7429,0.69229,0.14,1,1.02539,0.0946,0.0006,0.0006
2,12.1875,0.68479,0.17,1,0.89795,0.0882994,0.00129936,0.00129936
3,16.1683,0.62519,0.14,1,0.9895,0.081998,0.00199802,0.00199802
4,19.8976,0.63768,0.43,1,0.6748,0.075696,0.00269599,0.00269599
5,23.56,0.61789,0.31,1,0.73779,0.0693933,0.00339327,0.00339327
6,26.9843,0.57183,0.28,1,0.88965,0.0630899,0.00408985,0.00408985
7,30.4236,0.46712,0.67,1,0.68652,0.0567857,0.00478574,0.00478574
8,34.089,0.59578,0.52,1,0.85107,0.0504809,0.00548094,0.00548094
9,37.4891,0.49543,0.62,1,0.8335,0.0441754,0.00617545,0.00617545
10,40.9619,0.44659,0.69,1,1.29028,0.0378693,0.00686926,0.00686926
11,44.6455,0.47923,0.83,1,2.2002,0.0315624,0.00756238,0.00756238
12,48.3365,0.53303,0.83,1,2.08984,0.0252548,0.00825481,0.00825481
13,52.1474,0.47778,0.79,1,1.72119,0.0189465,0.00894654,0.00894654
14,55.6246,0.50664,0.63,1,1.46582,0.0126376,0.00963758,0.00963758
15,59.1415,0.50708,0.57,1,1.39282,0.0099307,0.0099307,0.0099307
16,62.6232,0.51348,0.16,1,2.25195,0.00992575,0.00992575,0.00992575
17,66.1927,0.64395,0.29,1,1.37793,0.0099208,0.0099208,0.0099208
18,69.6712,0.4759,0.84,1,1.84912,0.00991585,0.00991585,0.00991585
19,73.3854,0.55363,0.69,1,1.42725,0.0099109,0.0099109,0.0099109
20,76.878,0.4384,0.56,1,0.97583,0.00990595,0.00990595,0.00990595
21,80.3655,0.54039,0.45,1,1.76172,0.009901,0.009901,0.009901
22,83.8858,0.50777,0.35,1,1.92188,0.00989605,0.00989605,0.00989605
23,87.4043,0.70361,0.46,1,1.49219,0.0098911,0.0098911,0.0098911
24,90.9165,0.96206,0.33,1,1.60303,0.00988615,0.00988615,0.00988615
25,94.5371,0.46957,0.46,1,1.45264,0.0098812,0.0098812,0.0098812
26,98.0446,0.59422,0.44,1,2.57422,0.00987625,0.00987625,0.00987625
27,101.555,0.66692,0.46,1,2.11816,0.0098713,0.0098713,0.0098713
28,105.076,0.64461,0.57,1,1.36475,0.00986635,0.00986635,0.00986635
29,108.587,0.5111,0.54,1,1.2373,0.0098614,0.0098614,0.0098614
30,112.092,0.52952,0.44,1,1.19897,0.00985645,0.00985645,0.00985645
31,115.583,0.79645,0.29,1,1.06885,0.0098515,0.0098515,0.0098515
32,119.142,0.60235,0.39,1,0.91284,0.00984655,0.00984655,0.00984655
33,122.658,0.57079,0.35,1,1.06055,0.0098416,0.0098416,0.0098416
34,126.183,0.64071,0.31,1,1.19971,0.00983665,0.00983665,0.00983665
35,129.721,0.58333,0.33,1,1.22363,0.0098317,0.0098317,0.0098317
36,133.268,0.48127,0.7,1,0.9751,0.00982675,0.00982675,0.00982675
37,136.828,0.63861,0.76,1,1.63135,0.0098218,0.0098218,0.0098218
38,140.367,0.45463,0.52,1,1.1626,0.00981685,0.00981685,0.00981685
39,143.931,0.52483,0.71,1,1.41357,0.0098119,0.0098119,0.0098119
40,147.447,0.53819,0.52,1,1.03198,0.00980695,0.00980695,0.00980695
41,151,0.58743,0.39,1,1.09521,0.009802,0.009802,0.009802
42,154.527,0.52448,0.36,1,0.8999,0.00979705,0.00979705,0.00979705
43,158.034,0.55718,0.29,1,1.27051,0.0097921,0.0097921,0.0097921
44,161.654,0.68531,0.61,1,0.74536,0.00978715,0.00978715,0.00978715
45,165.149,0.73061,0.45,1,0.98804,0.0097822,0.0097822,0.0097822
46,168.647,0.52895,0.42,1,0.80029,0.00977725,0.00977725,0.00977725
47,172.15,0.53729,0.43,1,0.79761,0.0097723,0.0097723,0.0097723
48,175.658,0.47522,0.5,1,0.85059,0.00976735,0.00976735,0.00976735
49,179.222,0.4557,0.46,1,0.90088,0.0097624,0.0097624,0.0097624
50,182.971,0.50675,0.32,1,1.00366,0.00975745,0.00975745,0.00975745
51,186.539,0.50252,0.52,1,0.78955,0.0097525,0.0097525,0.0097525
52,190.12,0.4838,0.5,1,0.82227,0.00974755,0.00974755,0.00974755
53,193.66,0.49976,0.35,1,0.84717,0.0097426,0.0097426,0.0097426
54,197.225,0.45189,0.49,1,0.93042,0.00973765,0.00973765,0.00973765
55,200.775,0.45926,0.66,1,0.77905,0.0097327,0.0097327,0.0097327
56,204.336,0.53508,0.79,1,0.67041,0.00972775,0.00972775,0.00972775
57,207.801,0.44418,0.46,1,0.73242,0.0097228,0.0097228,0.0097228
58,211.365,0.46964,0.41,1,0.9353,0.00971785,0.00971785,0.00971785
59,214.859,0.548,0.41,1,1.3623,0.0097129,0.0097129,0.0097129
60,218.403,0.44539,0.61,1,0.7998,0.00970795,0.00970795,0.00970795
61,221.954,0.43382,0.56,1,0.78662,0.009703,0.009703,0.009703
