Epoch,Phase,Loss,Accuracy
1,train,0.5159606269597864,0.7957746478873239
1,test,0.5089115434307615,0.8083034341363403
2,train,0.4990070589658972,0.8125677139761647
2,test,0.4818639027528553,0.8352127114300358
3,train,0.49541738033796945,0.8161189358372457
3,test,0.5032059645756644,0.8186827268067658
4,train,0.49205427389290124,0.8197303478993619
4,test,0.48907104829590725,0.8303434136340339
5,train,0.48712704213098657,0.8276152642349826
5,test,0.4791112133993484,0.8450794464377243
6,train,0.4857603813876626,0.8293005898639702
6,test,0.48996848897528245,0.8404664274730907
7,train,0.4851261221703832,0.8296015408691465
7,test,0.47270711698879164,0.8491799077396207
8,train,0.48607744974494194,0.8274346936318767
8,test,0.47880363598779063,0.8455920041004613
9,train,0.48235063603728834,0.8329120019260864
9,test,0.47571690839599307,0.8500768836494106
10,train,0.48365084738152775,0.8330323823281569
10,test,0.486447882065707,0.8450794464377243
11,train,0.4816835017371898,0.8302034428794992
11,test,0.4786559165073993,0.8426447975397232
12,train,0.4831929316270419,0.8292403996629348
12,test,0.47499208583824454,0.8417478216299333
13,train,0.4794849929244736,0.8368845551944143
13,test,0.48193211035506045,0.834828293182983
14,train,0.4787942696754232,0.8373058866016613
14,test,0.47332787594692577,0.8439261916965658
15,train,0.4795991995639716,0.8364632237871674
15,test,0.4802105165426087,0.8399538698103537
16,train,0.4765408892299748,0.8413386300710244
16,test,0.47042235577796926,0.8499487442337262
17,train,0.47765482453586994,0.8382087396171903
17,test,0.4768342802091967,0.8463608405945668
18,train,0.47916773533841195,0.8379679788130492
18,test,0.468562488247956,0.8487954894925679
19,train,0.4752728203308199,0.8399542554472131
19,test,0.47985253590366767,0.8448231676063557
20,train,0.4768556071429874,0.8367039845913085
20,test,0.47594228768764185,0.8472578165043567
21,train,0.4759045065927408,0.8380281690140845
21,test,0.47400481497123265,0.8516145566376218
22,train,0.4734273574779047,0.8423016732875888
22,test,0.4741118452232474,0.847385955920041
23,train,0.47504032082228764,0.8429035752979415
23,test,0.4720967089531056,0.8489236289082521
24,train,0.47199818353812534,0.8429035752979415
24,test,0.4787313653712759,0.8384161968221425
25,train,0.4714018629678423,0.842783194895871
25,test,0.4818700204165638,0.8266273705791901
26,train,0.4697057351611704,0.8448898519321054
26,test,0.47059048876464216,0.8499487442337262
27,train,0.4743876300471432,0.843023955700012
27,test,0.4684535158041011,0.8509738595592004
28,train,0.4704326801858569,0.8438064283134705
28,test,0.4759087698512173,0.8446950281906714
29,train,0.4712527361288676,0.8433850969062237
29,test,0.47072457706604415,0.8477703741670938
30,train,0.4734494350899912,0.8412784398699892
30,test,0.4737951624460675,0.8399538698103537
31,train,0.47090308072765885,0.8469363187673047
31,test,0.46775278354350996,0.8490517683239365
32,train,0.4709289821244411,0.8449500421331407
32,test,0.4795995121702422,0.834315735520246
