epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,7.17264,0.75148,0.16,1,0.92847,0.0946,0.0006,0.0006
2,10.9029,0.70469,0.35,1,0.8064,0.0882994,0.00129936,0.00129936
3,14.5304,0.67131,0.2,1,0.96924,0.081998,0.00199802,0.00199802
4,17.9556,0.69866,0.55,1,0.67969,0.075696,0.00269599,0.00269599
5,21.5701,0.64542,0.55,1,0.68237,0.0693933,0.00339327,0.00339327
6,25.2274,0.62366,0.47,1,0.74731,0.0630899,0.00408985,0.00408985
7,28.6509,0.46111,0.82,1,0.71338,0.0567857,0.00478574,0.00478574
8,32.3334,0.61978,0.73,1,0.87329,0.0504809,0.00548094,0.00548094
9,35.7764,0.48404,0.81,1,0.79492,0.0441754,0.00617545,0.00617545
10,39.3389,0.50955,0.61,1,0.90942,0.0378693,0.00686926,0.00686926
11,43.0314,0.51504,0.6,1,1.27686,0.0315624,0.00756238,0.00756238
12,46.7219,0.51028,0.62,1,1.27148,0.0252548,0.00825481,0.00825481
13,50.3278,0.39537,0.75,1,1.30176,0.0189465,0.00894654,0.00894654
14,54.1105,0.45337,0.66,1,1,0.0126376,0.00963758,0.00963758
15,57.5677,0.60971,0.8,1,1.02588,0.0099307,0.0099307,0.0099307
16,61.0588,0.52946,0.44,1,1.13721,0.00992575,0.00992575,0.00992575
17,64.543,0.55141,0.69,1,0.88867,0.0099208,0.0099208,0.0099208
18,67.9994,0.44972,0.73,1,1.19507,0.00991585,0.00991585,0.00991585
19,71.4997,0.57242,0.74,1,1.24756,0.0099109,0.0099109,0.0099109
20,74.9419,0.57141,0.67,1,1.1084,0.00990595,0.00990595,0.00990595
21,78.3925,0.55604,0.65,1,1.08276,0.009901,0.009901,0.009901
22,81.8667,0.51262,0.52,1,1.63477,0.00989605,0.00989605,0.00989605
23,85.3356,0.72555,0.34,1,1.83887,0.0098911,0.0098911,0.0098911
24,88.7933,0.71789,0.46,1,1.2002,0.00988615,0.00988615,0.00988615
25,92.3302,0.50327,0.56,1,1.13623,0.0098812,0.0098812,0.0098812
26,95.8947,0.52438,0.72,1,0.88379,0.00987625,0.00987625,0.00987625
27,99.5844,0.69914,0.75,1,0.95264,0.0098713,0.0098713,0.0098713
28,103.319,0.75331,0.69,1,0.70215,0.00986635,0.00986635,0.00986635
29,107.084,0.52986,0.7,1,1.04102,0.0098614,0.0098614,0.0098614
30,110.763,0.54817,0.8,1,0.89209,0.00985645,0.00985645,0.00985645
31,114.209,0.7304,0.41,1,1.14771,0.0098515,0.0098515,0.0098515
32,117.764,0.70318,0.31,1,1.15381,0.00984655,0.00984655,0.00984655
33,121.188,0.611,0.54,1,0.8916,0.0098416,0.0098416,0.0098416
34,124.708,0.52322,0.37,1,1.15625,0.00983665,0.00983665,0.00983665
35,128.184,0.57049,0.29,1,1.25293,0.0098317,0.0098317,0.0098317
36,131.691,0.52301,0.41,1,1.42822,0.00982675,0.00982675,0.00982675
37,135.144,0.52259,0.54,1,1.02441,0.0098218,0.0098218,0.0098218
38,138.559,0.53335,0.35,1,1.77783,0.00981685,0.00981685,0.00981685
39,142.018,0.50964,0.65,1,1.32275,0.0098119,0.0098119,0.0098119
40,145.523,0.57263,0.65,1,0.91431,0.00980695,0.00980695,0.00980695
41,148.966,0.37721,0.56,1,0.94067,0.009802,0.009802,0.009802
42,152.472,0.54136,0.45,1,1.61865,0.00979705,0.00979705,0.00979705
43,155.926,0.57216,0.43,1,1.75244,0.0097921,0.0097921,0.0097921
44,159.524,0.55697,0.61,1,0.94287,0.00978715,0.00978715,0.00978715
45,163.006,0.56742,0.76,1,0.74585,0.0097822,0.0097822,0.0097822
46,166.485,0.53028,0.73,1,0.77954,0.00977725,0.00977725,0.00977725
47,170.024,0.60075,0.55,1,0.70654,0.0097723,0.0097723,0.0097723
48,173.63,0.44331,0.64,1,0.84448,0.00976735,0.00976735,0.00976735
49,177.482,0.40166,0.76,1,0.73975,0.0097624,0.0097624,0.0097624
50,181.214,0.43101,0.59,1,1.00171,0.00975745,0.00975745,0.00975745
51,184.978,0.48846,0.55,1,1.08105,0.0097525,0.0097525,0.0097525
52,188.755,0.53369,0.49,1,1.27686,0.00974755,0.00974755,0.00974755
53,192.444,0.49851,0.43,1,1.31055,0.0097426,0.0097426,0.0097426
54,195.977,0.49454,0.47,1,0.9895,0.00973765,0.00973765,0.00973765
55,199.527,0.48339,0.52,1,0.80029,0.0097327,0.0097327,0.0097327
56,202.986,0.50759,0.71,1,0.84473,0.00972775,0.00972775,0.00972775
