Epoch,Phase,Loss,Accuracy
1,train,0.49132568830184964,0.8224389069459491
1,test,0.4479361289528808,0.8545617631983597
2,train,0.43737662999842647,0.8732996268207536
2,test,0.44266669637786615,0.8684008200922604
3,train,0.4205714826787926,0.8950884795955218
3,test,0.44013969098403477,0.8717324449000512
4,train,0.40624439800289314,0.9113398338750451
4,test,0.4490712386776031,0.8548180420297283
5,train,0.3960316268577176,0.9244011074996991
5,test,0.42743037426428937,0.8835212711430036
6,train,0.39055376232165473,0.9293367039845912
6,test,0.43977369614774175,0.8675038441824705
