Epoch,Phase,Loss,Accuracy
1,train,0.39033874939305124,0.9298784157939087
1,test,0.42705555717679916,0.8845463864684777
2,train,0.3866458845056752,0.9322860238353196
2,test,0.4341165626250677,0.8737826755509994
3,train,0.37749909776649393,0.9437823522330564
3,test,0.43165362252448536,0.8787801127626858
4,train,0.3783217974628684,0.9392680871554111
4,test,0.43231855995040375,0.8733982573039467
5,train,0.37586591685235865,0.9448657758516913
5,test,0.42372717816422745,0.8900563813429011
6,train,0.3703695114401972,0.9505236547490068
6,test,0.42731133327919174,0.8830087134802665
