epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,6.85555,0.64343,0.35,1,0.78467,5.001e-05,5.001e-05,5.001e-05
2,8.92008,0.59219,0.27,1,0.86475,0.000116632,0.000116632,0.000116632
3,10.5924,0.53192,0.48,1,0.70166,0.000183188,0.000183188,0.000183188
4,12.5874,0.44323,0.69,1,0.62939,0.000249679,0.000249679,0.000249679
5,14.5304,0.37291,0.77,1,0.64307,0.000316103,0.000316103,0.000316103
6,16.5537,0.35146,0.64,1,0.68555,0.000382461,0.000382461,0.000382461
7,18.4132,0.32605,0.7,1,0.64551,0.000448753,0.000448753,0.000448753
8,20.1266,0.2411,0.7,1,0.75684,0.000514979,0.000514979,0.000514979
9,21.9569,0.31638,0.79,1,1.07324,0.00058114,0.00058114,0.00058114
10,23.8412,0.36484,0.84,1,1.16992,0.000647234,0.000647234,0.000647234
11,25.801,0.31958,0.8,1,1.18262,0.000713262,0.000713262,0.000713262
12,27.5736,0.23226,0.63,1,1.57227,0.000779224,0.000779224,0.000779224
13,29.372,0.26426,0.63,1,1.39062,0.00084512,0.00084512,0.00084512
14,31.2087,0.43255,0.55,1,1.33789,0.00091095,0.00091095,0.00091095
15,32.9669,0.44608,0.56,1,1.94824,0.000976714,0.000976714,0.000976714
16,34.7909,0.50869,0.79,1,1.64941,0.00104241,0.00104241,0.00104241
17,36.6684,0.59901,0.75,1,2.5625,0.00110804,0.00110804,0.00110804
18,38.5514,0.47573,0.84,1,1.10547,0.00117361,0.00117361,0.00117361
19,40.5292,0.64385,0.57,1,1.10449,0.00123911,0.00123911,0.00123911
20,42.3765,0.53966,0.39,1,2.58398,0.00130454,0.00130454,0.00130454
21,44.189,0.5614,0.86,1,0.66357,0.00136991,0.00136991,0.00136991
22,46.1563,0.49519,0.67,1,0.97607,0.00143521,0.00143521,0.00143521
23,47.9945,0.59989,0.54,1,0.81201,0.00150045,0.00150045,0.00150045
24,49.8271,0.59609,0.51,1,1.18945,0.00156562,0.00156562,0.00156562
25,51.6641,0.52753,0.6,1,2.04688,0.00163072,0.00163072,0.00163072
