Epoch,Phase,Loss,Accuracy
1,train,0.3649310006932603,0.9531720235945588
1,test,0.42327191655847246,0.8878780112762685
2,train,0.359923083285383,0.9581678102804863
2,test,0.426304383087867,0.8864684777037416
3,train,0.35756742227762,0.959853135909474
3,test,0.42566366526544064,0.8853152229625832
4,train,0.3557406028456187,0.9622607439508848
4,test,0.42364300299399577,0.8896719630958483
5,train,0.35528410703707963,0.963645118574696
5,test,0.4184271859120614,0.895822655048693
6,train,0.35404452582523255,0.9634043577705549
6,test,0.4219126635059707,0.8891594054331112
7,train,0.3532332330027312,0.9649091127964368
7,test,0.4201931346843696,0.893900563813429
8,train,0.3528939792183428,0.9637654989767666
8,test,0.41827938137819437,0.8946694003075346
9,train,0.35061614875674635,0.9674972914409534
9,test,0.41892407077633376,0.8941568426447976
10,train,0.34943549862920525,0.968279764054412
10,test,0.41687739680572267,0.8967196309584828
