epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,5.78481,0.75221,0.2,1,0.91016,0.00010002,0.00010002,0.00010002
2,9.77624,0.51203,0.46,1,0.89307,0.000216603,0.000216603,0.000216603
3,13.7536,0.5429,0.82,1,0.60352,0.00033307,0.00033307,0.00033307
4,17.6642,0.44123,0.66,1,0.6626,0.000449422,0.000449422,0.000449422
5,21.3145,0.47877,0.83,1,0.75928,0.000565658,0.000565658,0.000565658
6,25.2135,0.59872,0.76,1,0.42883,0.000681778,0.000681778,0.000681778
7,28.9613,0.52012,0.77,1,2.4375,0.000797784,0.000797784,0.000797784
8,32.6378,0.72904,0.37,1,1.85498,0.000913673,0.000913673,0.000913673
9,36.2707,0.68981,0.49,1,2.01416,0.00102945,0.00102945,0.00102945
10,39.9482,0.53359,0.35,1,4.8623,0.00114511,0.00114511,0.00114511
11,43.5827,0.63831,0.38,1,5.26172,0.00126065,0.00126065,0.00126065
12,47.2362,0.50589,0.49,1,nan,0.00137608,0.00137608,0.00137608
13,50.9353,0.57911,0.33,1,nan,0.00149139,0.00149139,0.00149139
14,54.5829,0.62702,0.39,1,nan,0.00160658,0.00160658,0.00160658
15,58.2587,0.56874,0.52,1,1.28491,0.00165545,0.00165545,0.00165545
16,61.9541,0.62015,0.69,1,0.75342,0.00165462,0.00165462,0.00165462
17,65.6576,0.53586,0.59,1,0.89844,0.0016538,0.0016538,0.0016538
18,69.3717,0.51105,0.26,1,3.1582,0.00165297,0.00165297,0.00165297
19,73.0281,0.58224,0.6,1,1.40332,0.00165215,0.00165215,0.00165215
20,76.6677,0.51422,0.25,1,1.86963,0.00165132,0.00165132,0.00165132
21,80.3511,0.56009,0.18,1,1.67822,0.0016505,0.0016505,0.0016505
22,84.0423,0.57727,0.59,1,0.89526,0.00164967,0.00164967,0.00164967
23,87.7077,0.62925,0.65,1,0.7771,0.00164885,0.00164885,0.00164885
24,91.3601,0.5639,0.81,1,0.50732,0.00164802,0.00164802,0.00164802
25,95.0004,0.56438,0.86,1,0.46033,0.0016472,0.0016472,0.0016472
26,98.9934,0.62351,0.86,1,0.46973,0.00164637,0.00164637,0.00164637
27,103.012,0.57938,0.85,1,0.49146,0.00164555,0.00164555,0.00164555
28,106.769,0.58233,0.84,1,0.45776,0.00164472,0.00164472,0.00164472
29,110.475,0.54724,0.83,1,0.49646,0.0016439,0.0016439,0.0016439
30,114.163,0.55287,0.86,1,0.43372,0.00164307,0.00164307,0.00164307
31,118.197,nan,0.14,1,nan,0.00164225,0.00164225,0.00164225
32,121.958,0.53541,0.14,1,nan,0.00164142,0.00164142,0.00164142
33,125.614,0.61393,0.14,1,nan,0.00164059,0.00164059,0.00164059
34,129.312,0.56829,0.14,1,nan,0.00163977,0.00163977,0.00163977
35,132.953,nan,0.14,1,nan,0.00163894,0.00163894,0.00163894
36,136.681,nan,0.14,1,nan,0.00163812,0.00163812,0.00163812
37,140.359,nan,0.14,1,nan,0.00163729,0.00163729,0.00163729
38,144.083,nan,0.14,1,nan,0.00163647,0.00163647,0.00163647
39,147.757,nan,0.14,1,nan,0.00163564,0.00163564,0.00163564
40,151.46,0.55677,0.14,1,nan,0.00163482,0.00163482,0.00163482
41,155.127,0.53608,0.14,1,nan,0.00163399,0.00163399,0.00163399
42,158.823,0.53291,0.14,1,nan,0.00163317,0.00163317,0.00163317
43,162.484,0.5617,0.14,1,nan,0.00163234,0.00163234,0.00163234
44,166.181,0.55412,0.14,1,nan,0.00163152,0.00163152,0.00163152
45,169.824,0.51222,0.14,1,nan,0.00163069,0.00163069,0.00163069
46,173.438,0.54982,0.14,1,nan,0.00162987,0.00162987,0.00162987
47,177.188,0.60876,0.14,1,nan,0.00162904,0.00162904,0.00162904
48,180.874,0.56708,0.14,1,nan,0.00162822,0.00162822,0.00162822
49,184.593,0.59808,0.14,1,nan,0.00162739,0.00162739,0.00162739
50,188.277,0.59646,0.14,1,nan,0.00162657,0.00162657,0.00162657
51,191.947,nan,0.14,1,nan,0.00162574,0.00162574,0.00162574
52,195.671,nan,0.14,1,nan,0.00162492,0.00162492,0.00162492
53,199.49,nan,0.14,1,nan,0.00162409,0.00162409,0.00162409
54,203.303,0.57484,0.14,1,nan,0.00162327,0.00162327,0.00162327
55,206.971,nan,0.14,1,nan,0.00162244,0.00162244,0.00162244
56,210.673,0.57839,0.14,1,nan,0.00162162,0.00162162,0.00162162
57,214.429,nan,0.14,1,nan,0.00162079,0.00162079,0.00162079
58,218.155,nan,0.14,1,nan,0.00161997,0.00161997,0.00161997
59,221.774,0.55657,0.14,1,nan,0.00161914,0.00161914,0.00161914
60,225.425,nan,0.14,1,nan,0.00161832,0.00161832,0.00161832
61,229.116,nan,0.14,1,nan,0.00161749,0.00161749,0.00161749
62,232.882,nan,0.14,1,nan,0.00161666,0.00161666,0.00161666
63,236.579,nan,0.14,1,nan,0.00161584,0.00161584,0.00161584
64,240.273,nan,0.14,1,nan,0.00161501,0.00161501,0.00161501
65,243.989,nan,0.14,1,nan,0.00161419,0.00161419,0.00161419
66,247.728,nan,0.14,1,nan,0.00161336,0.00161336,0.00161336
