Epoch,Phase,Loss,Accuracy
1,train,0.0653787492272813,0.9719140083217752
1,test,0.2595335426757056,0.9324705279343926
2,train,0.06394208961054924,0.9728964401294498
2,test,0.24915265726896507,0.9324705279343926
3,train,0.06766138258517147,0.9726652797041146
3,test,0.2496645359092343,0.9329830855971296
4,train,0.06278670608732113,0.973127600554785
4,test,0.2471825552713804,0.9329830855971296
5,train,0.06092862658102756,0.9741100323624595
5,test,0.25407722434635227,0.9328549461814454
6,train,0.058890978469015184,0.9764794267221452
6,test,0.25334198746939063,0.9345207585853408
7,train,0.0628153454483079,0.9756125751271382
7,test,0.2591319074925858,0.9366991286519734
8,train,0.05999033901861116,0.975381414701803
8,test,0.24533243538064262,0.9359302921578677
9,train,0.06072172624417686,0.9751502542764678
9,test,0.25539817355156924,0.9325986673500769
10,train,0.05915831587778105,0.9764216366158113
10,test,0.2632590591189557,0.9338800615069195
11,train,0.05673221186736889,0.9771729079981507
11,test,0.2655576202791205,0.9345207585853408
12,train,0.058796882088598804,0.9742834026814609
12,test,0.2596661860418283,0.9354177344951307
13,train,0.058716413169286344,0.9765372168284789
13,test,0.2569390103747941,0.9323423885187083
14,train,0.05708004918226725,0.9768839574664817
14,test,0.25565365275348045,0.9359302921578677
15,train,0.05504694471236489,0.9778663892741563
15,test,0.24739316708457465,0.9345207585853408
16,train,0.05708037315765796,0.9758437355524734
16,test,0.24655461496172779,0.9366991286519734
17,train,0.05461622192470552,0.9775196486361535
17,test,0.2641688474840167,0.9332393644284982
18,train,0.055440348348486865,0.977346278317152
18,test,0.2533833541315925,0.9345207585853408
19,train,0.05334048942282582,0.9787910309754969
19,test,0.26028575949458693,0.9309328549461814
20,train,0.05355965185237052,0.9782709200184928
20,test,0.25981580682942834,0.9342644797539723
21,train,0.05226877536340494,0.9785020804438279
21,test,0.2606147438257184,0.9334956432598667
22,train,0.05348219165007549,0.9783865002311604
22,test,0.2713040791371735,0.9374679651460789
23,train,0.0573915471144148,0.9765950069348127
23,test,0.26363162772738585,0.9361865709892363
24,train,0.05331007983678478,0.9767105871474803
24,test,0.2749181803772231,0.9358021527421835
25,train,0.05055114794763643,0.9790799815071659
25,test,0.2698712793452382,0.9325986673500769
26,train,0.05211180799790984,0.9786176606564956
26,test,0.2580725200997445,0.9359302921578677
27,train,0.05328321735272584,0.9787332408691631
