Epoch,Phase,Loss
1,train,0.32170433301192064
1,test,0.4391431391239166
2,train,0.2916210010647774
2,test,0.3713672647376855
3,train,0.25364592884595577
3,test,0.35542857617139817
4,train,0.2647287035446901
4,test,0.33774882500370346
5,train,0.2323241964670328
5,test,0.34675853977600735
6,train,0.2143231992652783
6,test,0.3465899096429348
7,train,0.21750954728860122
7,test,0.26891298204660413
8,train,0.18588439520735006
8,test,0.2361014339327812
9,train,0.23451538081352527
9,test,0.3041513527929783
10,train,0.20649224049769915
10,test,0.2534503198166688
11,train,0.18115389104072865
11,test,0.21112386917074522
12,train,0.16138819150053538
12,test,0.1946601999302705
13,train,0.15285778566048697
13,test,0.19537197723984717
14,train,0.14793756850636922
14,test,0.18681068311134974
15,train,0.1491472366452217
15,test,0.20758552819490433
16,train,0.23412973170097057
16,test,0.27001541445652644
17,train,0.177993818796598
17,test,0.23706754863262178
18,train,0.15125716978540787
18,test,0.1687439812719822
19,train,0.13573066071822093
19,test,0.16681876957416533
20,train,0.15186683302888504
20,test,0.32833200017611186
21,train,0.17631615770550874
21,test,0.19618155429760614
22,train,0.13342335435060354
22,test,0.1831017026801904
23,train,0.12574359693206275
23,test,0.14434016021589438
24,train,0.1190223792883066
24,test,0.14354273853202662
25,train,0.11357367715010276
25,test,0.13611661332348982
26,train,0.1125591185115851
26,test,0.1570428587992986
27,train,0.1212259344641979
27,test,0.1424644147604704
28,train,0.11684583983742274
28,test,0.18542320311069488
29,train,0.13275063997277847
29,test,0.23789674371480943
30,train,0.19107354824359601
30,test,0.24156555270155272
31,train,0.1428986887519176
31,test,0.1477845553557078
32,train,0.10985813640631162
32,test,0.1283118346085151
33,train,0.10088791070076135
33,test,0.11524187033375104
34,train,0.0944954847659056
34,test,0.10977118693292141
35,train,0.09285514814349322
35,test,0.12473250590264798
36,train,0.17878690243913578
36,test,0.22219216004014014
37,train,0.13458510988033734
37,test,0.136213319003582
38,train,0.10207270290989143
38,test,0.1173585077871879
39,train,0.09334681612940934
39,test,0.11053448498249054
40,train,0.08782170288837873
40,test,0.09929843415816625
41,train,0.08847414903915846
41,test,0.11816576793789864
42,train,0.08720942254249867
42,test,0.10665826216340064
43,train,0.08203268226522666
43,test,0.10226839522520702
44,train,0.08464636584887138
44,test,0.11077252022922039
45,train,0.0907716756256727
45,test,0.10477353734274705
46,train,0.08563957625856766
46,test,0.10419806092977524
47,train,0.0853369520833859
47,test,0.09849923474093278
48,train,0.0802400579303503
48,test,0.08881808032592138
49,train,0.07757851196023134
49,test,0.09378446690738201
50,train,0.07548992041211862
50,test,0.09353052717943987
51,train,0.0733803484760798
51,test,0.09122069629530112
52,train,0.10418797843158245
52,test,0.14393017118175824
53,train,0.08968220874667168
53,test,0.09238276444375515
54,train,0.07575518189141384
54,test,0.0954648124674956
55,train,0.06968377549487811
55,test,0.08083698439101378
56,train,0.0645953410004194
56,test,0.08003093726933003
57,train,0.06280273125721858
57,test,0.07786028020083904
58,train,0.15344970089884905
58,test,0.11372968951861064
59,train,0.08026159454996769
59,test,0.08565849989652634
60,train,0.0666149496115171
60,test,0.07425136379897594
61,train,0.05977277164275829
61,test,0.06643633159498373
62,train,0.05941124863349474
62,test,0.06905264966189861
63,train,0.059160070963777026
63,test,0.07405066075424353
64,train,0.05934911871758791
64,test,0.06748843111097813
65,train,0.05892738305032253
65,test,0.0727940366913875
66,train,0.060043220021403755
66,test,0.07228879558543365
67,train,0.06816079393602334
67,test,0.08298451445996761
68,train,0.06512404429797942
68,test,0.07692264658709368
69,train,0.061746642985022984
69,test,0.07053675656517347
70,train,0.058347281446823704
70,test,0.06697865086297194
71,train,0.05689570744450276
71,test,0.07890814984838168
72,train,0.05980449140071869
72,test,0.06608412923912207
73,train,0.056797891866702296
73,test,0.06919131504992644
74,train,0.05671168085474235
74,test,0.06847105927765369
75,train,0.06097624166080585
75,test,0.07472467742860317
76,train,0.06341693451198248
76,test,0.06703338752190272
77,train,0.059455696682517344
77,test,0.07142960449059804
78,train,0.05864829633671504
78,test,0.06326022922992706
79,train,0.052582695380999495
79,test,0.05968344934284687
80,train,0.050078814585621544
80,test,0.06150226086378097
81,train,0.052676892544214544
81,test,0.06741588294506073
82,train,0.053623477381009324
82,test,0.060723467220862706
83,train,0.051554430791964895
83,test,0.06103637810796499
84,train,0.05334116803912016
84,test,0.07134107751150925
85,train,0.13158799016131806
