Epoch,Phase,Loss
85,test,0.33151151657104494
86,train,0.16074409420673663
86,test,0.2786316422124704
87,train,0.1332364883961586
87,test,0.10505807012319565
88,train,0.07756173381438622
88,test,0.0811027849962314
89,train,0.0625096717935342
89,test,0.06867614003519217
90,train,0.05517921724571632
90,test,0.06500633286933104
91,train,0.05036611952460729
91,test,0.05568680999179681
92,train,0.04757010955650073
92,test,0.05352507181465626
93,train,0.04583111366973473
93,test,0.05276831192274888
94,train,0.04475159304646345
94,test,0.05517542282740275
95,train,0.0448315790696786
95,test,0.05254313558340073
96,train,0.045236952900886536
96,test,0.05270428041617076
97,train,0.04583594456888162
97,test,0.055795610100030896
98,train,0.04774345372445308
98,test,0.05988168758650621
99,train,0.04855087187427741
99,test,0.061493337030212085
100,train,0.04932418724665275
100,test,0.057275806268056235
101,train,0.04743885913147376
101,test,0.05931691658993562
102,train,0.04718863797302429
102,test,0.054726838494340575
103,train,0.04707972882458797
103,test,0.0577924745157361
104,train,0.047646588425223645
104,test,0.05659119070818027
105,train,0.046270231214853436
105,test,0.05458195734769106
106,train,0.04578170450261006
106,test,0.0541429528221488
107,train,0.04758532926440239
107,test,0.05558934239049752
108,train,0.04898273448531444
108,test,0.05683192182332277
109,train,0.050168614089488986
109,test,0.0627106453726689
110,train,0.04620986803219869
110,test,0.06115032446881135
111,train,0.04480904900683806
111,test,0.053573690590759115
112,train,0.04390864565395392
112,test,0.05276443778226773
113,train,0.043393887808689705
113,test,0.053758504626651604
114,train,0.04332483793680485
114,test,0.05081147531668345
115,train,0.04613415635549105
115,test,0.05517880623539289
116,train,0.045047888772991984
116,test,0.051253941915929316
117,train,0.04418195153085085
117,test,0.05677180904895067
118,train,0.04454869518486353
118,test,0.05289009251942237
119,train,0.042553143214720944
119,test,0.05144494799276193
120,train,0.043364907468740756
120,test,0.04854367171724638
121,train,0.04409090840472625
121,test,0.055415213058392206
122,train,0.041949693400126234
122,test,0.0513145795588692
123,train,0.041657109323602455
123,test,0.05121486097574234
124,train,0.04439364157617092
124,test,0.05114150134225686
125,train,0.04520509796073804
125,test,0.059331204953293006
126,train,0.051452431455254556
126,test,0.05546202378968398
127,train,0.04443059616363965
127,test,0.05048770391692718
128,train,0.03865291045262263
128,test,0.042882763743400575
129,train,0.03598230121800533
129,test,0.0426002000272274
130,train,0.03625975867590079
130,test,0.04338122382760048
131,train,0.039369382560253144
131,test,0.0466034538919727
132,train,0.041762096497875
132,test,0.054896902727584046
133,train,0.04294138918129298
133,test,0.04876316905021667
134,train,0.040315966938550656
134,test,0.049841303502519925
135,train,0.041270002075112784
135,test,0.047880616212884586
136,train,0.04085980221629143
136,test,0.04797468579063813
137,train,0.04660052209519423
137,test,0.1513246446599563
138,train,0.20970797762274743
138,test,0.14207369416952134
139,train,0.08590173075978573
139,test,0.08201561083396276
140,train,0.05757707618176937
140,test,0.05890220542748769
141,train,0.04622046364041475
141,test,0.05029391375680765
142,train,0.04074067040418203
142,test,0.0460900075485309
143,train,0.037513800263404846
143,test,0.0435970580826203
144,train,0.035485877921948066
144,test,0.040614121593534946
145,train,0.034240099128622276
145,test,0.04011555115381877
146,train,0.033868536178309185
146,test,0.03964855468521516
147,train,0.03454237868006413
147,test,0.04140074043224255
148,train,0.03610448820086626
148,test,0.045482356660068037
149,train,0.03724285124013057
149,test,0.04320759039372206
150,train,0.0385671031073882
150,test,0.044441666416823865
151,train,0.03828227697083583
151,test,0.04571111047019561
152,train,0.039009828768097436
152,test,0.04764201844731967
153,train,0.03972009465671503
153,test,0.04406132599959771
154,train,0.03823453261302068
154,test,0.04416848870615164
155,train,0.037309262961722336
155,test,0.045194015242159366
156,train,0.0369587374650515
156,test,0.04412803322076798
157,train,0.03719448105073892
157,test,0.044956551181773344
158,train,0.040999660004790016
158,test,0.052226530574262145
159,train,0.040033399955584456
159,test,0.04459184457858403
160,train,0.036481516702243914
160,test,0.042423589564859865
161,train,0.035612543563430125
161,test,0.04557878610988458
162,train,0.03618579772229378
162,test,0.04154706064611673
163,train,0.0366822967506372
163,test,0.05193231669565042
164,train,0.041128644610826784
164,test,0.0479544385150075
165,train,0.03892632140563085
165,test,0.04488228964308898
166,train,0.036242274636259446
166,test,0.042552746757864954
167,train,0.036508687035395546
167,test,0.04204020513842503
168,train,0.03639648280464686
168,test,0.04256324818978707
169,train,0.03579592196127543
169,test,0.044687470346689226
170,train,0.03694310704676004
170,test,0.04583183497190475
171,train,0.03595764788297506
171,test,0.04625240525851647
